0,1
"This series is just wrong in so many different ways. It is less related to the Star Trek canon than JJ Abrams' turds were. This is raw Star-Trek-ploitation. Perhaps it could have been enjoyable if it were called something else and didn't try to awkwardly force itself into a mold it wasn't designed to fit into... If you like Star Trek, check out Star Trek Continues, New Voyages, or Lower Decks for better offerings in the Star Trek universe.",21 March 2022
"Where to begin...

For starters, it claims to be in line with the original series and its timeline yet nothing on display lines up with it or even visually resembles it. Instead it tries to replicate the look, feel, and energy of the JJ Abrams/Kelvin timeline movies(lens flares aplenty!) but it even fails at that.

The characters are mostly bland, stereotypical, and unlikeable.

It feels like everything that the original series tried to say has been thrown out the window to appeal to one-sided politics, Gene Roddenberry was trying to present hope and optimism for the future but here as far as Discovery is concerned the future is to be pretty but cold and uncaring.

As for the acting it ranges from good to okay mostly, very talented performers such as Jason Isaacs, Michelle Yeoh, Anson Mount, and Doug Jones all try their hardest but only in tiny glimpses are able to make the rough material work.

I would have to agree with other commenters that you are just better off with The Orville instead, far better Star Trek series.",13 October 2019
"Great until this point and then it turned into 13 Reasons Why in space?!? Was a good 7 or 8 out of 10 before this!

Extra characters to support minimum criteria to post about this somewhat not in keeping with the otherwise high quality first few series. Only reason I continue to watch is the fact that I am a big fan of the franchise in the first place. Struggling to find more to say before it will let me post this. I think I summed up my thoughts succinctly in my first sentence or two but they want more before I can express said opinion.",12 May 2022
"I'm sort of enjoying this in parts, but why oh why is the main character, Michael Burnham, bursting into tears or looking tearful in nearly every one of her scenes? Who on earth would write a Commander who is supposed to have had a Vulcan upbringing but is both emotionally unstable and incapable of making the kind of flash, life and death decisions required of command? The whole of everything can be at stake and yet she stands around crying about one thing ot another, agonising with someone while people around her are suffering and dying and the world is coming to an end yet again and you are thinking for God's sake get on with it and stop blubbering. The amount of emotion had me in tears, not of empathy but boredom. The amount of slow moving, soul-searching scenes is a drag on what could otherwise be a good show. The gratuitous violence is too much and unnecessary. I have commented previously in another place about the current annoyingly cynical use of gay or lesbian relationships in every series and film these days. The right to a relationship of your choice and way of life is an accepted thing now, so why is there a pushy political agenda which I think is patronising to gay people in that the producers assume that gay people won't watch anything without a gay person in it? Sci-fi fans are sci-fi fans no matter who they are, and it is partitioning gay people rather than treating them as normal viewers like the rest od us. I also found some action very confusing. The special effects are great, though. We're into Series 3 so I don't expect the crying to lessen. I tend to go and make tea now in the blubbery moments, but one can only drink so much tea in an hour or so.",3 July 2022
"Having just watched the first two episodes, I want to chime in on behalf of those people who have seen every episode of every series, but who are not ""purists"" about Star Trek. Frankly, these first episode were much better than my admittedly low expectations. On the positive side, there are at least three characters that are fleshed out, given backstories, and show some development. There is a story arc, one that reminds me of the one with the Cardassians in DS9. Finally, and I don't know how to say this any better, but there is a welcome dearth of stupid bangles -- no holosuites, no tribbles, no Jonathan Frakes and Marina Sirtis romance. On the negative side, there is a lot more action than discovery, and while in many people's eyes that made ""First Contact"" a winning entry in the series, there is something that fails about that approach when one is forced to watch commercials every seven minutes. This lack of puzzles is echoed by a crew member who says something like ""we were supposed to be on a journey of exploration not a war,"" which was my sentiment throughout the JJ movies, and so I hope there is more ""discovery"" in the rest of the series.

Two things make me optimistic going forward. First, the teaser for coming episodes indicates we are getting to the ""journey of exploration"" starting in episode 3. Also, Sonequa Martin-Green is really rather good, as is Doug Jones, and they appear to both be in the continuing arc along with Jason Isaacs. I'm old enough to remember how lame the first episodes of DS9 seemed to be -- a lot of stuff about baseballs -- and yet it is the series of which I am most fond. It is hard to start a series like this, but the foundation that is laid here could sustain. But ""Discovery"" got quite a bit more right in terms of creating a unique feel within a familiar context than I expected based on the ever-changing group of people involved in creating it.",25 September 2017
"So far season 2 has been the best of the series. While season 4 has an interesting story arc, I am seeing far too much time spent on characters having heart to heart discussions. This is Star Trek, not group therapy. It seems no crisis is too dire or time critical that time can't be taken for inappropriate (in the moment) conversation. Billions of lives are at stake but let's pause for several minutes to tug at the old heart strings, or perhaps just to pad the show out to a full episode.",14 March 2022
"Show went from being OK at best for the first season, to pretty bad in the second, to cringe in the third and has now achieved ""unwatchable"" status. In fact I just stopped watching s04e02 mid episode during another interminable self endulging motivational speech.

Cringe...",27 November 2021
"Judging from the first episodes: I expected much worse, and i was blown away. And I understand that many Trek fans will not be able to overcome the design changes. This series is Darker, the Klingons resemble the Prometheus Engineers, the narrative does not appear to be mainly episodic; and many principles of the federation will fall ethically into shades of gray. However, if we take our expectations and preconceived notions out of the equation, and accept this series for what it is. Arguably, it is the most impressive Space Opera series of the last few years. Visually surpassing series as The Expanse or Stargate Universe. Narratively, the War premise works flawlessly as a grand opening, and will serve as a solid foundation for the rest of the series. The characters are convincing, the strong personality of the protagonist is not forced. And the chemistry between peers is pleasant. I really enjoyed this bold new approach to this franchise. If I preferred to see something more familiar, like a sequel within the TNG era? Yes, no doubt. But despite of this, this version is a high quality production on so many levels. And I'll wait religiously for the next episodes.",25 September 2017
"I watched the first three seasons and kinda liked the show at first. But as the episodes went on, the constant whispering by the actors just began to annoy me. Are they afraid someone will hear their 💩 acting? Is there someone sleeping on the set they are trying not to wake? Does the script call out (whispers) before every freakin line? I don't know, but it seems to be an attempt at dramatization that I just can't take anymore.

So I started watching season 4, and sure enough, it's still whisper mode for Sonequa. Speak your freakin lines woman!",9 December 2021
"WTF is going on with everyone crying all the time?

Everyone is an emotional wreck in this show. These people should have never made it into Starfleet. There ain't no crying in Starfleet!

More than half of every episode is dedicated to people crying and explaining their feelings. They do it before and after every event that takes place and then the do it some more just so you know how the feel. Stop crying and talking already and do action. Pew! Pew!

The main girl is the worst of them all. She whispers and cries in every episode and she is suppose to be the damn captain. Nobody wants a crying captain.

She cries more than Carrie Mathison of Homeland and i didn't think that was possible. Space!",11 December 2021
"The first season was ok and had a promising start but it rapidly decayed into a sappy soap opera set in the Star Trek universe. The characters in the show and the plot have all the potential needed but the continuing agony of ongoing psychology sessions (they call them episodes) is making me reconsider my future and I'll need counselling, long into the future, for having watched this. Writing this is part of my exposure therapy after season 4 where my brain was set to stun. But seriously, so disappointed that the focus was on giving out life lessons and not writing good Star Trek stories. I get it that you can have positive messages in shows, not a bad thing, but this is just way too much, at the expense of a potentially good series.

In my personal unscientific rating scale 4=Forced myself to watch to the end but didn't really enjoy and won't watch it again.",13 December 2022
"So here we are with another series of Star Trek with lots of cheesy lines and bad acting.... No wonder my partner does not want to watch it!

...but wait I am 3 episodes in and the usual bad acting and, cheap jokes have yet to make an appearance.

The new ''ST:D'' <(yea someone was having a laugh there weren't they?)> appears on our screen as a mature watch, credible actors, engaging storyline and great special effects/cgi.

It reminds me of what batman begins attempted to do with that series, and take it down a darker path and aim for a more mature audience.

Every episode so far feels like it belongs in the cinema and that is highly commendable. I have been watching the other new TV series Orville - it has a star trek feel but is certainly aimed at the comedy market so watching the two in a week is awesome as you get the whole sci fi feeling....

I know the trekkie purists will be angry at another retread at a prequel... and I am no hardcore trekkie. But change is good... It follows on from the recent films the first of which attempted to change the trekkie world meaning anything from that point can change!

ST:D (haha) is for me the best thing to happen in recent years, so other than a trip to the doctors I am awarding it a 10/10!!",2 October 2017
"As a huge Star Trek fan for years who has watched every Star Trek episode of the 28 seasons of TV and all the hits and misses at the movies, I was pretty excited to hear of Star Trek: Discovery premiere night and gathered my extended family - some trekkies and some oblivious to the universe - to watch together this Sunday.

Star Trek Deep Space Nine premiere got me hooked on Star Trek and I could not expect the same stirring sense of awe, universe creation and strong characterization. However, having followed the new series development and push back from May launch date and seen some impressive trailers, I wished for the best to revive a TV icon that had been dormant since Enterprise got cancelled and aired last in May 2005.

So just fresh of this 'fascinating' experience here are the GOOD, the BAD, (and the BADASS!) after the first two episodes:

The BADASS is Sonequa Martin-Green and her rebellious Michael Burnham character. She acts well, has strong dialogue and character development, especially in the second episode with the Sarek and Vulcan arc. She also has some action, self-reflection and intellect to showcase.

The GOOD are the stunning special effects and Starfleet crew. From the new race to mysterious robot, but mostly the interactions from the captain (Philippa Georgiou), commander Burnham and chef science officer (Saru) are spot on. Great tension, friendship, work ethics, chemistry and captivating acting. A shame we may not see too much of Michelle Yeoh in the future. I have faith for similar good character development for the seldom seen or heard rest of the core crew. I think creators and writers got it right so far for the Federation side which should be the focus.

The BAD is all the underused Klingon subplot where the series not only change the prosthetic and physical appearance of a well known documented and liked alien race in the canon universe, but also some of its culture and history. To portray the Klingons as only war-like and hungry for battle is not incorrect but is falling into the trap of creating an easy villain. Klingons are liked because they have a culture that also include good-natured laughs, drinks, food and friendship. They have time honoured traditions but can also break them, they think, feel and try not to fear for honour and bravery. They have reasons, reflexes and often a cause. They have memorable characters like Worf, Martok, Torres, Gowron, Kahless, Kurn, Kang, Chang and the Duras sisters to name a few. They have also a lot of language and culture already well developed so to see a new way they treat their dead in Discovery for instance feels unnecessary and not complementary to Sto'Vo'Kor (their Heaven or Valhalla) tradition and thinking.

BOTTOM LINE: every scene with Klingons and their dialogue so far seem useless and uninteresting compared to previous Klingon depth of culture or possible new avenues for this known race or even new made up race. This is poor and reflects limited reflection and petty fear fostering rather than enriching the palette of a wide and wide-reaching tapestry. Thus T'Kuvma, the Klingon new Messiah, is the weakest character as of now and all this Kahless reborn and ritualistic machination is not working to better the understanding of this beloved race.

As for the show it seems to have the potential to finish the 15- episode first season with strong story arcs, well-developed characters and situations. It will surely find some personal and philosophical aspects to explore as well as new ways of life and thinking like most good Star Trek did. My only current hope is this Klingon oversight is temporary and will balance itself out in an otherwise top sci-fi addition to the impressive Star Trek universe. I will give this my full attention as we await the fate of some interesting characters and can't wait to DISCOVER more.",24 September 2017
"At first I thought that this was a bad show, but when I watched it again after almost 4 months, it turned out it is not that bad, now I'm on ep 14. And I have to say, I really like it, I don't even know, what it is about it, that I disliked so much, polrobably that it is so different from previous startreks, but now that I started again, I like it a lot, so, for those who had the same opinion about this show as me, try watching it again. It might turn out, that it's actually pretty good.",3 January 2019
"Seasons 1 and 2 of Discovery has everything a good Trek show offered in the past: space exploration, intergalactic conflict, alternate universes, complex science, humor, diversity and drama. All of these aspects are really well balanced.

Seasons 3 and 4, on the other hand, gave much more emphasis on the drama aspect. It becomes overwhelming, tiresome, unbearable. The few elements of old Trek shows are still there, but always deep in the background. I also think the diversity elements were overused to the point of becoming caricature. Star Trek was always about diversity, but what happens in seasons 3 and 4 of Diversity are almost a mockery.",6 May 2022
"I really enjoyed the 1st two episodes of the new Trek, it was action packed and full of new characters. I did read many reviews and am not totally surprised at the bad reviews as many people felt that way about the other shows ... most notably, the Original Star Trek. It appears the first two episodes are a pilot to a much different season coming up which will be on a new ship, The Discovery. That seems to be where this new crew will boldly go where fans are expecting. It's new Star Trek, and as a 40 year fan I look forward to seeing the whole season and will judge more based on a season and not just what ""I"" expect things to be like or want. As for the bad reviews, they should possibly perform an internal audit of their own and judge accordingly. In my view the first 2 episodes get a 10 star rating as I wanted to see more.",28 September 2017
"The biggest issue I have with the show is that the main character seems very unfit for a leading position. She is doing rash acts with bad consequences. Also even though set before the classic series, the technology has to be better than in that series. But that seems to be the typical power creep with long lasting SF series of series.

I am not inclined to complaint about the long lasting story arc that didn't exist in the classic series. There have been other precedences.",12 January 2022
"So Im reading a lot of reviews of how unlike Start Trek this is... well.. if you want to see the last several decades of Star Trek we been getting again....go watch the last several decades again. For those who are saying Gene Roddenberry has been betrayed...news flash...the mans been dead for over 25 years now. If Star Trek is supposed to stay the same for ever, why bother making any more Star Trek movies or TV series?? Hey, I love the original series and Star Trek Generations and many of the Star Trek movies, but I don't expect it to stay the same for ever and ever. Are we expecting Batman movies not to change or evolve?

This is a new Star Trek, for a new audience and a new generation, if you are a purist, this might not be for you if you want the last several decades regurgitated. So far we're only 2 episodes in and I like where its going. It's definitely darker in terms of the Star Trek franchise, the same can be said if you compare Adam West as Batman on TV to Christian Bale going up against Heath Ledger's Joker.

This Star Trek looks like it has an intensity none of the other Star Treks could pull off, it's gritty and harsh and war is starting. Its not supposed to be campy and humorous, and I really don't think a lot of purist and Trekkies will be able to handle whats to come and might want to tune into the Orvile to get their regurgitated Star Trek fix.

It's a bit early to see a lot of character development with Star Trek Discovery, but I'm looking forward to see whats in store.",28 September 2017
"It's not anywhere as good as The Next Generation, Deep Space Nine, Voyager, or even Enterprise.",7 September 2021
"About the only thing they did was check all the boxes to appease those who represent those boxes. Never mind creating a good product. They put all their attention into the boxes.

Paramount should wrap this up and quickly move on to making quality material and stay away from trying to make all the boxes happy.",14 March 2022
"I've been with this 'show' for maybe far too long - but depressingly I have decided that it is not what it should be.

It has the name - but no where near the straight forward expected content.

I'm fully ok with leaving this show in the trash - because it isn't my fault but I know who's it is.",2 January 2022
"We all heard about issues plaguing the making of this series, and the scream from Star Trek purists following the trailers.

As someone myself, who's watched every episode of Star Trek, I can solemnly say without hesitation that this series has established relevance in the modern era of TV - without having to denigrate women.

Good points:

-Klingon's are more intimidating than any prior TV series. They also speak in their own language.

-The directing, editing and engagements are quite slick. -It's absent of any cringe prior Star Trek's had.

-The story (despite being a equal), is engaging and delivered in a superb way.

Bad points:

-Early on, they used CGI quite liberally, however



-The captain's accent may come across as if she's wooden and emotionless. -If you don't like reading subtitles, the presence of Klingon's may ruin the immersiveness.

-It's too early to call, I enjoyed the first episode a lot more than I thought. They exceeded my expectations regarding production value, directing and continual story.

What purists/fanboys won't like:

-It's a prequel, we all know how Star Trek Enterprise went down...

-Technology is more slick and beyond that of the original series, considering it's set 10 years earlier. However while they try to keep as many sounds and base designs - They have a point. But you've got to modernize it some way. Technology from the 60's doesn't exactly look futuristic.

-Redesigning of the Klingon's. This has been partially explained in DS9 and we've been told they have a good reason for this. Personally, they look more intimidating, Klingon's in TNG look nothing like the original, - so this is evolutionary.

-No characters thus far - from the other series. In the past, each series has showed someone from another series. -Some slight alterations of history, they've changed some small things in order to fit their new story.

Overall, it's certainly worth watching. There's no nudity or lewd behavior which often plagues our shows these days. The two leads are women, and they're respected like everyone else. There's no money or alcohol. Just how things are meant to be portrayed in the series.",25 September 2017
"I waited till I saw the fourth episode of Star Trek: Discovery to write a review for I didn't want to be too early to pass judgement. And, my opinion has not changed much since the first ten minutes of the series. The show has many problems. The first problem appears to be the Klingons who are re-imagined, tougher and annoying looking creatures and they -at least in my case- cause a distraction from the subject matter for they shouldn't look like that. Unless the series ends with the incident that changes them temporarily into Russian-steppe-folk like they looked in the Original Series and their genetic reformation turned them into the Klingons of sequel series, then, we have a problem there. Secondly, the ships Discovery and Shenzhou don't look like anything Cpt. Archer or later Cpt. Kirk used but there were sketches, models, etc. in several ST source material that may justify the shape of the ships. Thirdly, the aims of Discovery doesn't seem too Star-Trek-ky; but, if the fan theory is right and the NCC-1031 is actually the beginnings of Section 31, then, it is understandable. Fourthly, there are small details that might annoy the truer fans than I am: each ship should have a unique emblem and theirs is the same in all ships we have seen, Klingons again, Walker-class ships seem to be too advanced compared to Enterprise ships of both TOS and ST: Enterprise.

However, the biggest problem is in the characters: one doesn't want to be involved with them, one doesn't appreciate them, one doesn't establish empathy with them. Lieutenant Michael Burnham is aloof, problematic, and yet turns into a defendant of all Star Trek values -and, she's the adopted sister of the greatest legend of them all, Spock! She doesn't make me learn how her story develops. Michelle Yeoh's Captain Georgoiou is too nice to be three- dimensional and maybe it is good that she didn't last that much. The only interesting character is the captain of the Discovery, that is Jason Isaacs' Captain Gabriel Lorca. However, Lorca is just a vengeful, bitter character just like Ahab of Moby Dick and we had that with Picard, thank you very much. Also, I am not sure there are too many who wants to know how the Klingon war-birds had cloaking technology and Starfleet didn't have. In short, the series, despite using some new tech CGI and having great set design, is not very brilliant. The effort of explaining an ""incident"" referred to in series ""set chronologically later"" is a valiant effort but the cast, writing, and characterizations are not very good. Unless they do something really radical at the remaining 2/3 of the series, it won't be a great success story, I am afraid. Besides, knowing that Seth MacFarlane's comedic take on the Starfleet universe, The Orville does everything by the book despite not being canonical Star Trek, makes it even worse for the Discovery.",15 October 2017
"I'm unsure what is wrong with some people??

This show is a great standalone, the characters are strong, the acting superb, I admit the mirrored universe dragged a bit but it was still enjoyable.

Those comparing to next gen etc are a little confusing to me, this is set before that period and paves the way for what we know about Kirk, Spock et al, but gives more character background to them, before sneaking off on its own to forge a separate path.

Reviews can be useful, but I think they should be taken with a pinch of salt and decide for yourselves.

Especially those who are so quick to condemn the commitment, hard work, creativity and vision of those with such love for their craft

They share their creations with the world to transport us from the mundane to the imaginable. I think it's somewhat brutal, insensitive, unnecessary and vicious of some people to be so attacking.

Take a moment to consider the fact that those leaving such scathing reviews will never accomplish the actions and achievements of the people they are putting down. Maybe that's the problem? They know it.

Decide for yourself.

As for the show... I ABSOLUTELY LOVE IT, I thought that the first episode of S3 was brilliant, not overdone, I feel it's setting up nicely for the season without giving too much away.

Can't wait till next week.",16 October 2020
After finishing season 3 I've decided I won't be watching anymore. This show has a huge budget that is directly reflected in the production design. It looks stunning but the writing is atrocious. Each season is marked by a decline in the story and season 3 was the last straw. Whats the point of putting so much money into your budget if the writing sucks? It's become a slog to get through and the show no longer holds my attention.,18 January 2021
I love this. Do not understand some of this hate. It looks better than anything on tv. And I love the story in season 2.,4 June 2019
"I admit that I was initially pulled in by the artistry and Klingon infighting drama, but I lost interest after the first season. The characters are uninteresting, the dialogue is tedious when it isn't lacking, and the plot is slow and uninspired. I started with high hopes, then became disappointed that the show wasn't taking me anywhere.

Like other things called ""STD"", getting invested in this show may fill you with regret.",22 March 2022
"By far and away the stupidest sci fi show I have ever encountered is Star Tripe Discovery.

Its low IQ codswallop with dim witted plot turns with idiotic nonsense about parasitic ice, cats with what appears to be hypothyroidism and inexplicable exploding di-lithium called 'the burn"". Backed up by a cast of characters so uninteresting, shallow and generally boring, they make tax returns exciting.

Really it seems no ones trying here so why should anyone bother watching? Looking forward to the next season of The Orville. In my opinion the truest successor to the spirit of the 60's and 90's Star Trek series.

2/10 for decent production values but not a lot else.",29 October 2020
"The wokeness and alphabet soup overacting has arrived to the Super Universe that was Star Trek... and made it worse... 7/10 to me means ""watchable but only if there is really nothing else you could be doing..."" Star Trek was already about respect and acceptance of differences... the added virtue signalling just is ridiculous.",18 March 2022
The cgi effects are great and the finish is slick. The story has potential and there are a few interesting characters going through interesting psychological situations. However the excessive emoting and needles crying coupled with the whispered talking about feelings is sooooooo boring. If i had a cent for every time Michael Burnam cried i would be a millionaire by now. This should be called Star Trek Soap. I watched the show because I'ma great Star Trek fan however it was painful and i fast-forwarded most of unnecessary touchy-feely scenes due to their being so superficial. Fire the person who wrote these scenes in.,20 March 2022
"I'm halfway through season 4 and wow... just wow. It feels like I'm watching a group therapy session of whiny, privileged teenagers who are mostly just bored and happen to be in space for some reason. These supposed to be high ranking, trained officers, but none of them actually behaves like one. Everybody is always on the verge of an emotional breakdown and even in the middle of an actual crisis, all they seem to care about is to talk about their feelings. Now even the ship's computer is having emotional issues. Like what???

What is the point of this? Why are they even there? Who the hell would assigns these people to man a ship and send them on missions? They can't even cope with basic human day-to-day issues, let alone military or diplomatic conflicts!",29 January 2022
"Funny, and scarey at the same time- the latest episode (S3E12) the message is...""capitalism is the evil scourge of the galaxy!""

*That* from the Hollywood elite that won't give an autograph without making a fan pay for it, and live in lavish mansions.

Who are these writers, directors, and actors?! Liberal madness!",3 January 2021
Star Trek has a huge fan base around the world built over many decades by the vision and good intentions of Gene Roddenberry and others. However corporate greed and utter contempt for fans by Paramount execs and the recent decision to limit the new discovery season 4 to US only whilst deliberately misleading fans into believing it was also going to be launched internationally is yet further proof. If you're going to launch a streaming service you let the fans know well in advance and make sure you have your own service ready to roll in the majority of markets around the world. Complete incompetence at paramount. Vote with your wallets and do not sign up for Paramount+.,19 November 2021
"All you had to do, is use the same actors as the movies, or just good actors. Please start making better episodes and have better writing because this is ruining my love for my favourite franchise. Acting is horrible, story is boring, just not what i was expecting. Please get to the Deep space nine standard, it was the best",12 October 2017
"The only people who seem not to like this new Star Trek are people who feel they have to compare it to previous incarnations. Sure there's no Shatner or Nimoy, no Bones or Sulu or Scotty but there also are no 50 year old cheesy special effects, no thin plot lines and no ill fitting costumes. While I do like the old Star Trek, I doubt if I - or anyone else - would like a remake of the original series with different actors.

I very much enjoyed this for what it is - an pretty darn good Sci-fi show. Who cares if the technology does not fit the Star Trek ""timeline""? Or if the Klingons look different? If that bothers you, just go watch the original 79 Star Trek episodes over and over again.

People, get over it! It's time to go where no man has gone before and stop living in the past.",25 September 2017
"Good show, but, my God, they talk a lot, they never stop make philosophy.

Please, use the phaser more than you use your mouth!

Stop with psy problems and make some adventure, that is what we want.",4 March 2022
"I just don't understand why people are hating this so much. Will be watching the season 2 final next week and I still really like this show. I can't for the life of me see why people are so disappointed in this show. I look at it as something different and stopped comparing it to the original star trek. I think it is well acted and the story is not that bad. I kind of like the one story in stead of a different stories each week. I have to admit that the second season has been a little messy but still has been was not all that bad. Yes the story circles around Micheal Burnam too much but still it is good. Giving this series a one star is just ridiculous. The visuals alone merit more that a one star. I am a child of the 60's and was there in front of the television when the original pilot aired and then again when they retooled it and put Captian Kirk in charge. I know all dialog to most episodes so, yes I know how the original was done. I am just about like that with TNG. With this one I go into it to be entertained and not nit pick this series to death. I am the same way with the new movies. I love my star trek and always will but I like this one also just feel like it is something all together different. The only thing that bothered me about this series is it takes place 10 years before Kirk's Enterprise but still has superior technology that thing right there makes me laugh. I try to over look that fact but still makes me shake my head at times. All in all this a fairly good series and deserves way more then one star.",12 April 2019
